Payments to suppliers over £500 - April 2020,,,,,,,,,
,,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Nominal,NominalDesc,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,HRA Capital Expenditure,983000,Disabled Adaptations,5190, Disabled Adaptations         ,02/04/2020,9329,"2,600.00",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Whole House Improvements,5120, Whole House Improvements     ,02/04/2020,9639,"2,625.06",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Repairs,730020,Major & Minor Repairs,2142,Major & Minor Repairs         ,02/04/2020,9333,"2,745.64",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Disabled Adaptations,5190, Disabled Adaptations         ,02/04/2020,8701,"2,900.00",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Repairs- Sheltered Housing,730025,General Repairs,2138,General Repairs               ,02/04/2020,9631,"3,674.74",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Whole House Improvements,5120, Whole House Improvements     ,02/04/2020,9751,"3,803.02",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Repairs- Sheltered Housing,730025,General Repairs,2138,General Repairs               ,02/04/2020,9332,"3,932.96",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Repairs- Sheltered Housing,730025,General Repairs,2138,General Repairs               ,02/04/2020,9632,"5,199.86",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Repairs,730020,Major & Minor Repairs,2142,Major & Minor Repairs         ,02/04/2020,9637,"7,470.48",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,Balance Sheet,999999,Suspense Acc - NORSE contract,7248,Suspense Acc - NORSE contract ,02/04/2020,8774,"7,891.68",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Repairs,730020,Major & Minor Repairs,2142,Major & Minor Repairs         ,02/04/2020,9636,"8,586.50",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Repairs,730020,Major & Minor Repairs,2142,Major & Minor Repairs         ,02/04/2020,9633,"8,740.01",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Repairs,730020,Major & Minor Repairs,2142,Major & Minor Repairs         ,02/04/2020,9635,"9,338.31",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,Balance Sheet,999999,Suspense Acc - NORSE contract,7248,Suspense Acc - NORSE contract ,02/04/2020,8780,"9,979.72",NORWICH NORSE (BUILDING) LTD            
