Payments to suppliers over £500 - April 2020,,,,,,,,,
,,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Nominal,NominalDesc,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11095,"25,000.00",G A & M Enterprises Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11103,"25,000.00",Garden Buildings Centres Ltd
Norwich City Council,HRA Capital Expenditure,983000,Kitchens,5121, Kitchens                     ,09/04/2020,10957,"4,963.11",GASWAY SERVICES LTD                     
Norwich City Council,HRA Repairs,730020,Inspection (Electrical Equipt),2655,Inspection (Electrical Equipt),09/04/2020,10569,"5,758.19",GASWAY SERVICES LTD                     
Norwich City Council,HRA Repairs,730020,Gas Cent Heating Repairs C Wks,2143,Gas Cent Heating Repairs C Wks,09/04/2020,10956,"18,870.71",GASWAY SERVICES LTD                     
Norwich City Council,HRA Capital Expenditure,983000,Electrical,5110, Electrical                   ,09/04/2020,10067,"45,399.47",GASWAY SERVICES LTD                     
Norwich City Council,HRA Capital Expenditure,983000,Tower Block Regeneration,5182, Tower Block Regeneration     ,09/04/2020,10955,"53,040.00",GASWAY SERVICES LTD                     
Norwich City Council,HRA Capital Expenditure,983000,Electrical,5110, Electrical                   ,09/04/2020,10108,"62,413.21",GASWAY SERVICES LTD                     
Norwich City Council,HRA Capital Expenditure,983000,Kitchens,5121, Kitchens                     ,09/04/2020,10957,"104,106.64",GASWAY SERVICES LTD                     
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11009,"10,000.00",Glambox Norwich Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10987,"10,000.00",Glenkeir Whiskies Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11018,"10,000.00",Gonzos Tea Room Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11076,"25,000.00",Gotts Leisure Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11084,"25,000.00",Gotts Leisure Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11026,"10,000.00",Greggs Plc T/A Bakers Oven Midlands
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10996,"10,000.00",Hamiltons The Home Improvement Company L
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11021,"10,000.00",Harris Clarke Ltd T/A Wilkinson'S
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11064,"25,000.00",Henry Alan Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11105,"25,000.00",Hidden Hearing Ltd
Norwich City Council, IT Services,321020,Shared Services LGSS External,3061,Shared Services LGSS External ,09/04/2020,10059,"5,180.81",INCEPTION IT SOLUTIONS LTD              
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11032,"10,000.00",Jarrold & Sons Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11007,"10,000.00",Jewson Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11039,"25,000.00",Jezewska Pizza Co Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11096,"25,000.00",Leaders Ltd T/A Jillian Stephens Propert
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11073,"25,000.00",Leaders Ltd T/A Temples
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11001,"10,000.00",Lisa Angel Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11077,"25,000.00",L'Occitane Uk Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11028,"10,000.00",London Camera Exchange Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11087,"25,000.00",Lullaby Inc Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11088,"25,000.00",Luxoticca Retail Uk Ltd
Norwich City Council,Markets,100000,Trade Waste,2237,Trade Waste                   ,09/04/2020,10160,725.2,M W WHITE LTD                           
Norwich City Council,Markets,100000,Trade Waste,2237,Trade Waste                   ,09/04/2020,10158,"1,813.00",M W WHITE LTD                           
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11090,"25,000.00",Mahtab Caterers Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11102,"10,000.00",Maidenhead Aquatics 3 Llp
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11004,"10,000.00",Mandarin Cycles Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11042,"25,000.00",Motor Fuel Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11082,"25,000.00",Motor Fuel Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11091,"25,000.00",Motor Fuel Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11101,"25,000.00",Motor Fuel Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10991,"10,000.00",Neals Yard Remedies Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10972,"10,000.00",Net Trading Ventures Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11002,"10,000.00",Newstar Bakery Limited
Norwich City Council,HRA Capital Expenditure,983000,Disabled Adaptations,5190, Disabled Adaptations         ,09/04/2020,8237,"4,586.25",NORSE COMMERCIAL SERVICES LTD           
Norwich City Council,Integrated Waste Management,431080,Other Contractual Services,2849,Other Contractual Services    ,09/04/2020,10347,"4,603.34",NORSE ENVIRONMENTAL WASTE SERVICES LTD  
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11008,"10,000.00",Norwich Kickstop Youth
Norwich City Council,Balance Sheet,999999,Suspense Acc - NORSE contract,7248,Suspense Acc - NORSE contract ,09/04/2020,10943,510.24,NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Whole House Improvements,5120, Whole House Improvements     ,09/04/2020,10944,"1,232.95",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Whole House Improvements,5120, Whole House Improvements     ,09/04/2020,10944,"30,585.92",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,Markets,100000,Contract Cleaning,2207,Contract Cleaning             ,09/04/2020,4751,"1,376.44",NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,Estates Management,721020,Window Cleaning,2205,Window Cleaning               ,09/04/2020,10960,"2,439.76",NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,Environmental Services,431050,Shared Services Norse (NNE),2251,Shared Services Norse (NNE)   ,09/04/2020,10960,"55,352.19",NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,Environmental Services,431050,Shared Services Norse (NNE),2251,Shared Services Norse (NNE)   ,09/04/2020,10960,"457,565.25",NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,Investment Properties,220000,Specified Works (ES/Prop Grp),2169,Specified Works (ES/Prop Grp) ,09/04/2020,8208,"16,744.33",NORWICH PRESERVATION TRUST LTD          
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11027,"10,000.00",Norwich Puppet Theatre Trust
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10984,"10,000.00",Norwich School
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11041,"25,000.00",Number One Motor Co Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10990,"10,000.00",Opolka Ltd
Norwich City Council,HRA Repairs,730020,Lift Mtce,2110,Lift Mtce                     ,09/04/2020,10953,"3,392.40",OTIS LTD                                
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11056,"25,000.00",P H (Norwich) Limited
Norwich City Council,HRA Capital Expenditure,983000,Heating & Boilers - Domestic,5131, Heating/Boilers Domestic     ,09/04/2020,10954,"51,153.66",P H JONES LTD                           
Norwich City Council,HRA Capital Expenditure,983000,Heating & Boilers - Domestic,5131, Heating/Boilers Domestic     ,09/04/2020,10954,"60,104.65",P H JONES LTD                           
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10982,"10,000.00",Pact (People For Animal Care Trust)
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11069,"25,000.00",Pact (People For Animal Care Trust)
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10997,"10,000.00",Parkside Community Trust
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11086,"25,000.00",Pedal Revolution Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10975,"10,000.00",Pharma-Z Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10989,"10,000.00",Phoenix Gym Norwich Ltd
Norwich City Council,Customer Contact Team,550010,Agency Staff,2050,Agency Staff                  ,09/04/2020,10350,593.11,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Conservation Design&Landscape,620050,Agency Staff,2050,Agency Staff                  ,09/04/2020,10562,"1,470.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Head of City Development,600070,Agency Staff,2050,Agency Staff                  ,09/04/2020,10069,"2,058.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Balance Sheet,999999,Rents Overpayment Refunds,7229,Rents Overpayment Refunds     ,09/04/2020,10942,"1,200.00",REDACTED PERSONAL DATA
Norwich City Council,Neighbourhood Services,710120,ExGratia/Compensation Payments,2686,ExGratia/Compensation Payments,09/04/2020,10945,"1,805.22",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10964,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10965,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10966,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10967,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10968,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10970,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10971,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10973,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10981,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10988,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11015,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11022,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11033,"10,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11036,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11046,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11050,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11053,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11062,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11063,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11066,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11071,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11072,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11079,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11080,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11089,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11093,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11097,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11099,"25,000.00",REDACTED PERSONAL DATA
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11054,"25,000.00",Refreshing Solutions Uk Ltd
Norwich City Council,GF Capital Expenditure,981000,Vehicles/Plant Eqpmt/Machinery,5300,Vehicles/Plant Eqpmt/Machinery,09/04/2020,10076,"5,700.00",RISUAL LIMITED                          
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11005,"10,000.00",Rspca
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11098,"25,000.00",Ryman Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11106,"25,000.00",Sahara Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11037,"25,000.00",Scarlet (Norwich) Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11010,"10,000.00",Shoe Zone Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10999,"10,000.00",Smokshop Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11075,"25,000.00",St Thomas Trading Company Ltd T/A Spicel
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11043,"25,000.00",St.Mary'S Restaurant Limited T/A Taste O
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11065,"25,000.00",Strangers Club Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10977,"10,000.00",Strangers Coffee Company Ltd.
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11003,"10,000.00",Strangers Coffee Company Ltd.
Norwich City Council,HRA Repairs,730020,Structural Repairs,2136,Structural Repairs            ,09/04/2020,10946,"13,607.70",STRUCTURAL REPAIRS & SPECIALIST SERVICES
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11029,"10,000.00",Sunrise Chinese Market Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11011,"10,000.00",The Big C Appeal Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11012,"10,000.00",The Big C Appeal Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10976,"10,000.00",The Card Factory Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10969,"10,000.00",The City Pub Group Plc
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11083,"25,000.00",The Golden Star (Norwich) Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11030,"10,000.00",The Greenhouse Trust
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11051,"25,000.00",The Realistic Trader Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11055,"25,000.00",The Reiyukai Oriental Arts Centre
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11052,"25,000.00",Timpson Shoe Repairs Ltd T/A Automagic
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,10995,"10,000.00",Total E-Cig Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11023,"10,000.00",Travel Centre (Norwich) Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11017,"10,000.00",Tyrecare Ltd T/A Havers Tyres
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11092,"25,000.00",Ujaas Dessert Limited T/A Delightful Des
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,09/04/2020,11024,"10,000.00",William H Brown
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11386,"10,000.00",1st Norwich Sea Scout Group
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11384,"10,000.00",35th Norwich Sea Scouts
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11371,"25,000.00",A.F.R. Degouviea Co. Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11311,"25,000.00",Abbot Fox Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11381,"25,000.00",Acca Limited T/A Costa Coffee
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11326,"25,000.00",Adam Walters Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11370,"25,000.00",American Golf (Trading) Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11327,"25,000.00",Anglian Academy Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11374,"25,000.00",Animal Inns Limited
Norwich City Council,Environmental Protection ,522050,Other Contractual Services,2849,Other Contractual Services    ,14/04/2020,11291,"1,375.00",AQDM                                    
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11356,"25,000.00",Artique Galleries Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11312,"25,000.00",Avis Rent A Car Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11314,"25,000.00",Baby Buddha Ltd
Norwich City Council,Integrated Waste Management,431080,Cleansing Contracts,2846,Cleansing Contracts           ,14/04/2020,11289,"1,103,670.00",BIFFA MUNICIPAL LIMITED                 
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11342,"25,000.00",Boston House Hair & Beauty Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11352,"25,000.00",Bowling House Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11365,"25,000.00",Broadland Taverns Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11341,"25,000.00",Chopstix Restaurant Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11343,"25,000.00",Cote Restaurants Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11388,"10,000.00",Curious Directive
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11316,"25,000.00",D.W. Stevenson Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11331,"25,000.00",Dazmonda Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11299,"25,000.00",Destinations (Norwich) Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11335,"25,000.00",E U Ltd T/A Exhausts Unlimited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11391,"10,000.00",East Anglias Childrens Hospices (Each)
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11302,"25,000.00",East Of England Co-Operative Society Lim
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11304,"25,000.00",East Of England Co-Operative Society Lim
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11348,"25,000.00",East Of England Co-Operative Society Lim
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11379,"25,000.00",Eaton Golf Club
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11376,"25,000.00",Esme Optical Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11306,"25,000.00",Europcar Uk Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11324,"25,000.00",Extreme Sports Project Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11375,"25,000.00",F.A. Kerrison Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11336,"25,000.00",Fastfit Exhausts Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11359,"25,000.00",Futon Co Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11354,"25,000.00",Futuredog Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11362,"25,000.00",Futuredog Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11339,"25,000.00",G A & M Enterprises Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11369,"25,000.00",G&J Leisure Limited
Norwich City Council,Multi-Storey Car Parks,643040,Security/Cash in Transit,2805,Security/Cash in Transit      ,14/04/2020,9378,731,G4S CASH SOLUTIONS (UK) LTD             
Norwich City Council,Multi-Storey Car Parks,643040,Security/Cash in Transit,2805,Security/Cash in Transit      ,14/04/2020,1424,"10,415.37",G4S CASH SOLUTIONS (UK) LTD             
Norwich City Council,Multi-Storey Car Parks,643040,Security/Cash in Transit,2805,Security/Cash in Transit      ,14/04/2020,11298,"10,415.37",G4S CASH SOLUTIONS (UK) LTD             
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11318,"25,000.00",Gc Rooftop Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11337,"25,000.00",Ggs Photographics Ltd
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11307,"25,000.00",Grain Brewery Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11353,"25,000.00",Gs Portfolio Limited
Norwich City Council,Business Grants Covid 19,511070,Grants - Special Projects,2725,Grants - Special Projects     ,14/04/2020,11361,"25,000.00",H Young (Operations) Ltd T/A Animal
